seed,episode,soups,sampled_roles,teacher_roles,observed_roles
4,279,3.0,2-2-0,0-1-2,0-1-2
4,280,6.0,0-1-2,0-1-2,0-1-2
4,281,6.0,0-1-2,0-1-2,0-1-2
4,282,6.0,0-1-2,0-1-2,0-1-2
4,283,0.0,1-0-0,0-1-2,0-1-2
4,284,4.0,2-1-2,0-1-2,0-1-2
4,285,0.0,0-1-2,0-2-1,0-1-2
4,286,0.0,0-1-2,0-2-1,0-1-2
4,287,0.0,1-1-1,0-2-1,0-1-2
4,288,6.0,0-1-2,0-1-2,0-1-2
4,289,0.0,0-1-2,0-2-1,0-1-2
4,290,6.0,0-1-2,0-1-2,0-2-2
4,291,6.0,0-1-2,0-1-2,0-1-2
4,292,0.0,1-0-0,0-1-2,0-1-2
4,293,0.0,0-1-1,0-1-2,0-1-2
4,294,4.0,2-1-1,0-1-2,0-1-2
4,295,0.0,0-2-2,0-1-2,0-2-2
4,296,6.0,0-1-2,0-1-2,0-1-2
4,297,6.0,0-1-2,0-1-2,0-1-2
4,298,6.0,0-1-2,0-1-2,0-1-2
4,299,6.0,0-1-2,0-1-2,0-1-2
4,300,6.0,0-1-2,0-1-2,0-1-2
4,301,6.0,0-1-2,0-1-2,0-1-2
4,302,0.0,0-0-1,0-1-2,0-1-2
4,303,6.0,0-1-2,0-1-2,0-1-2
4,304,6.0,0-2-1,0-1-2,0-1-2
4,305,6.0,0-1-2,0-1-2,0-1-2
4,306,0.0,2-2-0,0-1-2,0-1-2
4,307,4.0,2-1-2,0-1-2,0-1-2
4,308,6.0,0-1-2,0-1-2,0-1-2
4,309,0.0,0-1-2,0-2-1,0-1-2
4,310,6.0,0-1-2,0-1-2,0-1-2
4,311,6.0,0-1-2,0-1-2,0-1-2
4,312,6.0,0-1-2,0-1-2,0-1-2
4,313,4.0,2-2-1,0-1-2,0-1-2
4,314,6.0,0-1-2,0-1-2,0-1-2
4,315,6.0,0-1-2,0-1-2,0-1-2
4,316,6.0,0-1-2,0-1-2,0-1-2
