seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
0,320,0.0,0-2-0,0-2-1,0-1-2,0-0-1
0,321,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,322,6.0,2-0-1,0-1-2,0-1-2,0-0-1
0,323,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,324,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,325,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,326,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,327,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,328,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,329,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,330,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,331,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,332,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,333,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,334,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,335,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,336,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,337,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,338,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,339,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,340,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,341,0.0,2-0-0,0-1-2,0-1-2,0-0-1
0,342,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,343,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,344,4.0,2-1-1,0-1-2,0-1-2,0-0-1
0,345,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,346,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,347,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,348,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,349,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,350,6.0,1-0-2,0-2-1,0-1-2,0-0-1
0,351,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,352,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,353,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,354,0.0,1-0-1,0-1-2,0-1-2,0-0-1
0,355,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,356,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,357,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,358,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,359,6.0,0-1-2,0-1-2,0-1-2,0-0-1
