seed,episode,condition,soups,teacher_role_correct,chosen_roles,teacher_roles,proposals
0,109,frozen_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,109,dynamic_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,110,no_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,110,frozen_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,110,dynamic_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,111,no_etm,0.0,2,0-0-2,1-0-2,1-0-2
0,111,frozen_etm,0.0,2,0-0-2,1-0-2,1-0-2
0,111,dynamic_etm,0.0,2,0-0-2,1-0-2,1-0-2
0,112,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,112,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,112,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,113,no_etm,0.0,2,0-0-2,0-1-2,1-0-2
0,113,frozen_etm,0.0,2,0-0-2,0-1-2,1-0-2
0,113,dynamic_etm,0.0,2,0-0-2,0-1-2,1-0-2
0,114,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,114,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,114,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,115,no_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,115,frozen_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,115,dynamic_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,116,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,116,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,116,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,117,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,117,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,117,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,118,no_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,118,frozen_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,118,dynamic_etm,1.0,2,0-0-2,1-0-2,0-0-2
0,119,no_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,119,frozen_etm,1.0,2,0-0-2,1-0-2,1-0-2
0,119,dynamic_etm,1.0,2,0-0-2,1-0-2,1-0-2
