seed,episode,soups,sampled_roles,teacher_roles,observed_roles
3,47,4.0,2-0-0,2-0-0,0-2-1
3,48,0.0,1-0-0,0-2-1,0-2-1
3,49,0.0,1-0-0,0-1-2,0-2-1
3,50,0.0,0-1-0,0-1-2,0-2-1
3,51,6.0,1-0-2,0-1-2,0-2-1
3,52,0.0,2-2-2,0-1-2,0-2-1
3,53,0.0,0-1-0,0-1-2,0-2-1
3,54,6.0,2-0-1,0-1-2,0-2-1
3,55,0.0,0-1-1,0-1-2,0-2-1
3,56,6.0,0-1-2,0-1-2,0-2-1
3,57,4.0,1-1-2,0-1-2,0-2-1
3,58,4.0,1-2-1,1-2-0,0-2-2
3,59,0.0,0-0-1,0-1-2,0-1-2
3,60,4.0,1-2-1,0-2-1,0-1-2
3,61,6.0,1-0-2,0-1-2,0-1-2
3,62,0.0,0-1-1,0-2-1,0-1-2
3,63,0.0,1-1-1,0-1-2,0-1-2
3,64,0.0,1-0-1,0-1-2,0-1-2
3,65,1.0,0-0-2,0-2-1,0-1-2
3,66,3.0,2-2-0,0-2-1,0-1-2
3,67,3.0,2-0-2,0-1-2,0-1-2
3,68,1.0,0-2-0,0-1-2,0-1-2
3,69,3.0,2-1-2,0-2-1,0-1-2
3,70,3.0,0-2-2,1-2-0,0-1-2
3,71,0.0,2-2-0,1-2-0,0-1-2
3,72,0.0,0-1-0,1-2-0,0-1-2
3,73,0.0,1-0-0,0-1-2,0-1-2
3,74,6.0,2-1-0,0-1-2,0-1-2
3,75,0.0,0-0-1,0-2-1,0-1-2
3,76,4.0,2-1-2,0-2-1,0-1-2
3,77,3.0,1-2-2,0-2-1,0-1-2
3,78,3.0,2-0-2,0-1-2,0-1-2
3,79,0.0,2-2-2,0-1-2,0-1-2
3,80,6.0,0-2-1,0-1-2,0-1-2
3,81,0.0,1-2-1,0-1-2,0-1-2
3,82,6.0,0-1-2,0-1-2,0-1-2
3,83,0.0,1-1-1,0-1-2,0-1-2
3,84,6.0,1-0-2,1-0-2,0-2-2
3,85,0.0,1-0-1,0-1-2,0-1-2
3,86,0.0,1-1-0,0-1-2,0-1-2
3,87,0.0,2-0-0,0-1-2,0-1-2
3,88,0.0,0-1-0,0-1-2,0-1-2
3,89,0.0,1-2-1,0-1-2,0-1-2
3,90,0.0,2-2-2,1-0-2,0-1-2
3,91,6.0,2-0-1,0-1-2,0-1-2
3,92,0.0,1-0-0,1-0-2,0-1-2
3,93,6.0,2-1-0,0-1-2,0-1-2
