scenario,candidate,responder,observer,own_role,own_x,own_y,belief_0,belief_1,soups
16,1,1,0,2,10,3,"[0.09562588186334658, 0.6602850095033806, 0.24408910863327277]","[0.10744692650074254, 0.5534431818620402, 0.3391098916372172]",0.0
16,1,1,1,1,6,3,"[0.3139722328543224, 0.16905070486887228, 0.5169770622768053]","[0.3156268582363867, 0.5107559982572019, 0.17361714350641147]",0.0
16,1,1,2,1,2,3,"[0.3193003646577205, 0.1903418693379808, 0.4903577660042987]","[0.22904528051204892, 0.6907341688885555, 0.08022055059939552]",0.0
16,2,1,0,2,10,3,"[0.09562588186334658, 0.24408910863327277, 0.6602850095033806]","[0.10744692650074254, 0.5534431818620402, 0.3391098916372172]",1.0
16,2,1,1,2,6,3,"[0.3139722328543224, 0.16905070486887228, 0.5169770622768053]","[0.3156268582363867, 0.5107559982572019, 0.17361714350641147]",1.0
16,2,1,2,1,2,3,"[0.3193003646577205, 0.1903418693379808, 0.4903577660042987]","[0.22904528051204892, 0.08022055059939552, 0.6907341688885555]",1.0
17,0,2,0,0,2,3,"[0.8456165040865037, 0.048736818723785144, 0.10564667718971119]","[0.49426239832755026, 0.40309873386090694, 0.1026388678115428]",0.0
17,0,2,1,0,10,3,"[0.8173235932831837, 0.09765692683028086, 0.08501947988653542]","[0.6066986392466747, 0.1836376198764409, 0.20966374087688444]",0.0
17,0,2,2,0,6,3,"[0.8026668089141291, 0.10173419222854457, 0.09559899885732631]","[0.4930170457380273, 0.19967496471847077, 0.3073079895435019]",0.0
17,1,2,0,0,2,3,"[0.8456165040865037, 0.048736818723785144, 0.10564667718971119]","[0.40309873386090694, 0.49426239832755026, 0.1026388678115428]",0.0
17,1,2,1,0,10,3,"[0.8173235932831837, 0.09765692683028086, 0.08501947988653542]","[0.1836376198764409, 0.6066986392466747, 0.20966374087688444]",0.0
17,1,2,2,1,6,3,"[0.8026668089141291, 0.10173419222854457, 0.09559899885732631]","[0.4930170457380273, 0.19967496471847077, 0.3073079895435019]",0.0
17,2,2,0,0,2,3,"[0.8456165040865037, 0.048736818723785144, 0.10564667718971119]","[0.40309873386090694, 0.1026388678115428, 0.49426239832755026]",1.0
17,2,2,1,0,10,3,"[0.8173235932831837, 0.09765692683028086, 0.08501947988653542]","[0.1836376198764409, 0.20966374087688444, 0.6066986392466747]",1.0
17,2,2,2,2,6,3,"[0.8026668089141291, 0.10173419222854457, 0.09559899885732631]","[0.4930170457380273, 0.19967496471847077, 0.3073079895435019]",1.0
18,0,0,0,0,2,3,"[0.18952188285163077, 0.0793716846997869, 0.7311064324485823]","[0.23006278329094446, 0.0708037161363126, 0.6991335005727429]",1.0
18,0,0,1,2,6,3,"[0.5143411311067476, 0.2723414139326665, 0.2133174549605859]","[0.28450067835298287, 0.24797537292386387, 0.4675239487231532]",1.0
18,0,0,2,2,10,3,"[0.6236211401120526, 0.2526178776487058, 0.12376098223924162]","[0.18807439028680414, 0.06520837735639742, 0.7467172323567984]",1.0
18,1,0,0,1,2,3,"[0.18952188285163077, 0.0793716846997869, 0.7311064324485823]","[0.23006278329094446, 0.0708037161363126, 0.6991335005727429]",1.0
18,1,0,1,2,6,3,"[0.2723414139326665, 0.5143411311067476, 0.2133174549605859]","[0.28450067835298287, 0.24797537292386387, 0.4675239487231532]",1.0
18,1,0,2,2,10,3,"[0.2526178776487058, 0.6236211401120526, 0.12376098223924162]","[0.18807439028680414, 0.06520837735639742, 0.7467172323567984]",1.0
18,2,0,0,2,2,3,"[0.18952188285163077, 0.0793716846997869, 0.7311064324485823]","[0.23006278329094446, 0.0708037161363126, 0.6991335005727429]",0.0
18,2,0,1,2,6,3,"[0.2723414139326665, 0.2133174549605859, 0.5143411311067476]","[0.28450067835298287, 0.24797537292386387, 0.4675239487231532]",0.0
18,2,0,2,2,10,3,"[0.2526178776487058, 0.12376098223924162, 0.6236211401120526]","[0.18807439028680414, 0.06520837735639742, 0.7467172323567984]",0.0
